Experiment,Method,Windowing,LabelingMode,OptimizedThreshold,UsedThreshold,Accuracy,F1_Clean,F1_Infected,ConfusionMatrix_1,ConfusionMatrix_2,ConfusionMatrix_3,ConfusionMatrix_4,Sensitivity,Specificity,FP_rate,FN_rate
GentleBoost_50cycles_0.1,GentleBoost,Dynamic,majority,0.68,0.5,0.656118143459916,0.713196480938416,0.570676031606673,608,314,175,325,0.508607198748044,0.776500638569604,0.223499361430396,0.491392801251956
GentleBoost_100cycles_0.1,GentleBoost,Dynamic,majority,0.01,0.5,0.463431786216596,0.529882932840419,0.282018187782672,430,410,353,229,0.358372456964006,0.549169859514687,0.450830140485313,0.641627543035994
GentleBoost_50cycles_0.05,GentleBoost,Dynamic,majority,0,0.5,0.270042194092827,0.257263251275227,0.0471136491483446,290,545,493,94,0.147104851330203,0.37037037037037,0.62962962962963,0.852895148669797
AdaBoost_default,AdaBoostM1,Dynamic,majority,0,0.5,0.475386779184248,0.604872881355932,0.10885502288177,571,534,212,105,0.164319248826291,0.729246487867177,0.270753512132823,0.835680751173709
RandomForest_default,Bag,Dynamic,majority,0.84,0.5,0.738396624472574,0.755584756898817,0.718608169440242,575,164,208,475,0.743348982785602,0.734355044699872,0.265644955300128,0.256651017214397
Stacking_Ensemble,Stacking,Dynamic,majority,0.94,0.5,0.473277074542897,0.212290008841733,0.58411993337035,147,113,636,526,0.823161189358372,0.187739463601533,0.812260536398467,0.176838810641628
