RPerc,GPerc,BPerc,CPerc,Predictions
4.85,5,3.45,2.716666667,Infected
4.7,5,3.45,2.516666667,Infected
4.7,5,3.583333333,2.566666667,Infected
4.816666667,5,3.616666667,2.316666667,Infected
4.666666667,5,3.483333333,2.416666667,Infected
4.5,5,3.5,2.233333333,Infected
4.65,5,3.416666667,2.383333333,Infected
4.55,5,3.566666667,2.283333333,Infected
4.683333333,5,3.616666667,2.55,Infected
4.883333333,5,3.683333333,2.933333333,Infected
4.933333333,5,3.666666667,2.9,Infected
4.683333333,5,3.75,2.583333333,Inconclusive
4.716666667,5,3.733333333,2.666666667,Infected
4.55,5,3.583333333,2.466666667,Infected
4.566666667,5,3.7,2.45,Infected
4.8,5,3.616666667,2.8,Infected
4.916666667,5,3.883333333,3,Inconclusive
4.933333333,5,3.866666667,2.983333333,Infected
4.883333333,5,3.866666667,2.983333333,Infected
4.75,5,3.833333333,2.916666667,Not Infected
4.45,5,3.816666667,2.733333333,Inconclusive
4.566666667,5,3.916666667,2.683333333,Inconclusive
4.9,5,3.916666667,2.933333333,Infected
4.5,5,3.766666667,2.6,Inconclusive
4.416666667,5,3.916666667,2.583333333,Not Infected
4.483333333,5,3.866666667,2.466666667,Not Infected
4.316666667,5,3.8,2.45,Not Infected
4.516666667,5,3.833333333,2.783333333,Not Infected
4.8,5,3.866666667,2.933333333,Not Infected
4.916666667,5,4,2.983333333,Inconclusive
4.9,5,3.966666667,3,Not Infected
4.916666667,5,4,3,Not Infected
4.833333333,5,3.966666667,2.95,Not Infected
