RPerc,GPerc,BPerc,CPerc
4.016666667,5,3,2
4.066666667,4.966666667,3,2
4.066666667,5,3,2
4.4,5,3,2
4.45,5,3,2.033333333
4.45,5,3.133333333,2.05
4.733333333,5,3.1,2.016666667
4.666666667,5,3.2,2.05
4.45,5,3.116666667,2.033333333
4.266666667,5,3.1,2.033333333
4.116666667,5,3.033333333,2
4.2,5,3.066666667,2.016666667
4.35,4.983333333,3.083333333,2.016666667
4.666666667,5,3.116666667,2.083333333
4.533333333,5,3.033333333,2.116666667
4.716666667,5,3.116666667,2.183333333
4.866666667,5,3.366666667,2.566666667
4.9,5,3.416666667,2.733333333
4.966666667,5,3.483333333,2.816666667
5,5.033333333,3.5,2.966666667
4.85,5,3.45,2.716666667
4.7,5,3.45,2.516666667
4.7,5,3.583333333,2.566666667
4.816666667,5,3.616666667,2.316666667
4.666666667,5,3.483333333,2.416666667
4.5,5,3.5,2.233333333
4.65,5,3.416666667,2.383333333
4.55,5,3.566666667,2.283333333
4.683333333,5,3.616666667,2.55
4.883333333,5,3.683333333,2.933333333
4.933333333,5,3.666666667,2.9
4.683333333,5,3.75,2.583333333
4.716666667,5,3.733333333,2.666666667
4.55,5,3.583333333,2.466666667
4.566666667,5,3.7,2.45
4.8,5,3.616666667,2.8
4.916666667,5,3.883333333,3
4.933333333,5,3.866666667,2.983333333
4.883333333,5,3.866666667,2.983333333
4.75,5,3.833333333,2.916666667
4.45,5,3.816666667,2.733333333
4.566666667,5,3.916666667,2.683333333
4.9,5,3.916666667,2.933333333
4.5,5,3.766666667,2.6
4.416666667,5,3.916666667,2.583333333
4.483333333,5,3.866666667,2.466666667
4.316666667,5,3.8,2.45
4.516666667,5,3.833333333,2.783333333
4.8,5,3.866666667,2.933333333
4.916666667,5,4,2.983333333
4.9,5,3.966666667,3
4.916666667,5,4,3
4.833333333,5,3.966666667,2.95
