model,window_size,accuracy,f1_1,f1_2,confusion_matrix_1,confusion_matrix_2,confusion_matrix_3,confusion_matrix_4,sensitivity,specificity,FP_rate,FN_rate
GentleBoost,1,0.676470588235294,0.716417910447761,0.623423423423423,528,300,118,346,0.535603715170279,0.81733746130031,0.18266253869969,0.464396284829721
GentleBoost,2,0.287617554858934,0.340953748620865,0.0248891302380306,312,583,326,55,0.0862068965517241,0.489028213166144,0.510971786833856,0.913793103448276
GentleBoost,4,0.641479099678457,0.671091445427729,0.606007067137809,455,279,167,343,0.551446945337621,0.731511254019293,0.268488745980707,0.448553054662379
GentleBoost,6,0.497524752475248,0.365528089557285,0.555149744338934,223,226,383,380,0.627062706270627,0.367986798679868,0.632013201320132,0.372937293729373
GentleBoost,8,0.592216582064298,0.594957983193277,0.589437819420784,354,244,238,346,0.586440677966102,0.597972972972973,0.402027027027027,0.413559322033898
GentleBoost,12,0.738434163701068,0.775229357798165,0.687234042553192,507,236,58,323,0.577817531305903,0.897345132743363,0.102654867256637,0.422182468694097
GentleBoost,24,0.429735234215886,0.135459861775651,0.541734860883797,91,156,404,331,0.679671457905544,0.183838383838384,0.816161616161616,0.320328542094456
