OptimizedThreshold,UsedThreshold,Accuracy,F1_Clean,F1_Infected,Sensitivity,Specificity,ConfusionMatrix_1,ConfusionMatrix_2,ConfusionMatrix_3,ConfusionMatrix_4,NTrees,MinLeafSize,ScreeningThreshold,NumPredictors,MaxNumSplits
0.58,0.3,0.536067892503536,0.406823483959166,0.615023474178404,0.823899371069182,0.300771208226221,117,56,272,262,50,5,0.3,3,10
0.53,0.3,0.506364922206506,0.31412546322572,0.599311136624569,0.820754716981132,0.249357326478149,97,57,292,261,50,5,0.3,3,20
0.72,0.3,0.493635077793494,0.289358636385964,0.587557603686636,0.80188679245283,0.241645244215938,94,63,295,255,50,5,0.3,3,50
0.59,0.3,0.531824611032532,0.395318945417588,0.611957796014068,0.820754716981132,0.295629820051414,115,57,274,261,50,5,0.3,4,10
0.83,0.3,0.513437057991513,0.331702462890787,0.604597701149425,0.827044025157233,0.25706940874036,100,55,289,263,50,5,0.3,4,20
0.77,0.3,0.519094766619519,0.354408819215544,0.605568445475638,0.820754716981132,0.272493573264781,106,57,283,261,50,5,0.3,4,50
0.68,0.3,0.541725601131542,0.427510735161063,0.617021276595745,0.820754716981132,0.313624678663239,122,57,267,261,50,5,0.3,7,10
0.79,0.3,0.524752475247525,0.37021110851445,0.609302325581395,0.823899371069182,0.280205655526992,109,56,280,262,50,5,0.3,7,20
0.84,0.3,0.528995756718529,0.383890317052271,0.611435239206534,0.823899371069182,0.287917737789203,112,56,277,262,50,5,0.3,7,50
0.55,0.4,0.528995756718529,0.395395858005257,0.606847697756789,0.808176100628931,0.300771208226221,117,61,272,257,50,5,0.4,3,10
0.74,0.4,0.545968882602546,0.460504201680672,0.608058608058608,0.783018867924528,0.352185089974293,137,69,252,249,50,5,0.4,3,20
0.58,0.4,0.527581329561528,0.407246396317582,0.599520383693046,0.786163522012579,0.316195372750643,123,68,266,250,50,5,0.4,3,50
0.53,0.4,0.54031117397454,0.443313572215519,0.607961399276236,0.792452830188679,0.334190231362468,130,66,259,252,50,5,0.4,4,10
0.8,0.4,0.537482319660537,0.441156812339332,0.603636363636364,0.783018867924528,0.336760925449871,131,69,258,249,50,5,0.4,4,20
0.52,0.4,0.547383309759547,0.459459459459459,0.610705596107056,0.789308176100629,0.349614395886889,136,67,253,251,50,5,0.4,4,50
0.6,0.4,0.553041018387553,0.471571906354515,0.612745098039216,0.786163522012579,0.362467866323907,141,68,248,250,50,5,0.4,7,10
0.67,0.4,0.551626591230552,0.456260720411664,0.618531889290012,0.808176100628931,0.341902313624679,133,61,256,257,50,5,0.4,7,20
0.88,0.4,0.548797736916549,0.460236886632826,0.612393681652491,0.792452830188679,0.349614395886889,136,66,253,252,50,5,0.4,7,50
0.53,0.5,0.693069306930693,0.692198581560284,0.693935119887165,0.773584905660377,0.627249357326478,244,72,145,246,50,5,0.5,3,10
0.59,0.5,0.596888260254597,0.570135746606335,0.620505992010652,0.732704402515723,0.48586118251928,189,85,200,233,50,5,0.5,3,20
0.52,0.5,0.717114568599717,0.725274725274725,0.708454810495627,0.764150943396226,0.67866323907455,264,75,125,243,50,5,0.5,3,50
0.75,0.5,0.669024045261669,0.688829787234043,0.646525679758308,0.672955974842767,0.665809768637532,259,104,130,214,50,5,0.5,4,10
0.64,0.5,0.582743988684583,0.575539568345324,0.58970792767733,0.666666666666667,0.51413881748072,200,106,189,212,50,5,0.5,4,20
0.75,0.5,0.5997171145686,0.558502340093604,0.633893919793014,0.770440251572327,0.460154241645244,179,73,210,245,50,5,0.5,4,50
0.71,0.5,0.56011315417256,0.477310924369748,0.62026862026862,0.79874213836478,0.365038560411311,142,64,247,254,50,5,0.5,7,10
0.6,0.5,0.547383309759547,0.520958083832335,0.571045576407507,0.669811320754717,0.447300771208226,174,105,215,213,50,5,0.5,7,20
0.58,0.5,0.687411598302687,0.686524822695035,0.688293370944993,0.767295597484277,0.622107969151671,242,74,147,244,50,5,0.5,7,50
0.53,0.2,0.506364922206506,0.302199371608112,0.603859250851305,0.836477987421384,0.236503856041131,92,52,297,266,50,10,0.2,3,10
0.78,0.2,0.47949080622348,0.221686942088537,0.590200445434299,0.833333333333333,0.190231362467866,74,53,315,265,50,10,0.2,3,20
0.55,0.2,0.499292786421499,0.284789760368167,0.598639455782313,0.830188679245283,0.22879177377892,89,54,300,264,50,10,0.2,3,50
0.56,0.2,0.507779349363508,0.311416297165335,0.602739726027397,0.830188679245283,0.244215938303342,95,54,294,264,50,10,0.2,4,10
0.59,0.2,0.499292786421499,0.284789760368167,0.598639455782313,0.830188679245283,0.22879177377892,89,54,300,264,50,10,0.2,4,20
0.61,0.2,0.496463932107496,0.273566236984705,0.598194130925508,0.833333333333333,0.22107969151671,86,53,303,265,50,10,0.2,4,50
0.63,0.2,0.524752475247525,0.365613373996072,0.611111111111111,0.830188679245283,0.275064267352185,107,54,282,264,50,10,0.2,7,10
0.85,0.2,0.524752475247525,0.37021110851445,0.609302325581395,0.823899371069182,0.280205655526992,109,56,280,262,50,10,0.2,7,20
0.79,0.2,0.52050919377652,0.35195730695389,0.608996539792388,0.830188679245283,0.267352185089974,104,54,285,264,50,10,0.2,7,50
0.62,0.3,0.55021216407355,0.440140845070423,0.624113475177305,0.830188679245283,0.32133676092545,125,54,264,264,50,10,0.3,3,10
0.5,0.3,0.513437057991513,0.338788740040556,0.601851851851852,0.817610062893082,0.264781491002571,103,58,286,260,50,10,0.3,3,20
0.62,0.3,0.526166902404526,0.370179948586118,0.611819235225956,0.830188679245283,0.277634961439589,108,54,281,264,50,10,0.3,3,50
0.6,0.3,0.538896746817539,0.418282427780925,0.615566037735849,0.820754716981132,0.308483290488432,120,57,269,261,50,10,0.3,4,10
0.63,0.3,0.526166902404526,0.377065736320235,0.609101516919487,0.820754716981132,0.285347043701799,111,57,278,261,50,10,0.3,4,20
0.64,0.3,0.524752475247525,0.37021110851445,0.609302325581395,0.823899371069182,0.280205655526992,109,56,280,262,50,10,0.3,4,50
0.72,0.3,0.543140028288543,0.432133676092545,0.617751479289941,0.820754716981132,0.316195372750643,123,57,266,261,50,10,0.3,7,10
0.8,0.3,0.53041018387553,0.388463820142681,0.61214953271028,0.823899371069182,0.290488431876607,113,56,276,262,50,10,0.3,7,20
0.6,0.3,0.545968882602546,0.43585237258348,0.620118343195266,0.823899371069182,0.318766066838046,124,56,265,262,50,10,0.3,7,50
0.83,0.4,0.551626591230552,0.454388984509466,0.619447779111645,0.811320754716981,0.339331619537275,132,60,257,258,50,10,0.4,3,10
0.57,0.4,0.554455445544555,0.455958549222798,0.622754491017964,0.817610062893082,0.339331619537275,132,58,257,260,50,10,0.4,3,20
0.57,0.4,0.557284299858557,0.461273666092943,0.624249699879952,0.817610062893082,0.344473007712082,134,58,255,260,50,10,0.4,3,50
0.84,0.4,0.554455445544555,0.454072790294627,0.623655913978495,0.820754716981132,0.336760925449871,131,57,258,261,50,10,0.4,4,10
0.63,0.4,0.553041018387553,0.453287197231834,0.62200956937799,0.817610062893082,0.336760925449871,131,58,258,260,50,10,0.4,4,20
0.73,0.4,0.551626591230552,0.454388984509466,0.619447779111645,0.811320754716981,0.339331619537275,132,60,257,258,50,10,0.4,4,50
0.66,0.4,0.547383309759547,0.453924914675768,0.613526570048309,0.79874213836478,0.341902313624679,133,64,256,254,50,10,0.4,7,10
0.71,0.4,0.536067892503536,0.431982071056621,0.604819277108434,0.789308176100629,0.329048843187661,128,67,261,251,50,10,0.4,7,20
0.79,0.4,0.555869872701556,0.456747404844291,0.624401913875598,0.820754716981132,0.339331619537275,132,57,257,261,50,10,0.4,7,50
0.71,0.5,0.596888260254597,0.551181102362205,0.634146341463415,0.776729559748428,0.44987146529563,175,71,214,247,50,10,0.5,3,10
0.57,0.5,0.687411598302687,0.709592641261498,0.66156202143951,0.679245283018868,0.694087403598972,270,102,119,216,50,10,0.5,3,20
0.61,0.5,0.581329561527581,0.528662420382165,0.623409669211196,0.770440251572327,0.426735218508997,166,73,223,245,50,10,0.5,3,50
0.57,0.5,0.585572842998586,0.537124802527646,0.624839948783611,0.767295597484277,0.437017994858612,170,74,219,244,50,10,0.5,4,10
0.68,0.5,0.71994342291372,0.727272727272727,0.712209302325582,0.770440251572327,0.67866323907455,264,73,125,245,50,10,0.5,4,20
0.66,0.5,0.588401697312588,0.540284360189573,0.627400768245839,0.770440251572327,0.439588688946015,171,73,218,245,50,10,0.5,4,50
0.89,0.5,0.545968882602546,0.515837104072398,0.572569906790945,0.676100628930818,0.439588688946015,171,103,218,215,50,10,0.5,7,10
0.83,0.5,0.538896746817539,0.503048780487805,0.569920844327177,0.679245283018868,0.424164524421594,165,102,224,216,50,10,0.5,7,20
0.65,0.5,0.585572842998586,0.537124802527646,0.624839948783611,0.767295597484277,0.437017994858612,170,74,219,244,50,10,0.5,7,50
0.52,0.2,0.521923620933522,0.35650191589465,0.609699769053118,0.830188679245283,0.269922879177378,105,54,284,264,100,1,0.2,3,10
0.61,0.2,0.492220650636492,0.262881412764055,0.595264937993236,0.830188679245283,0.215938303341902,84,54,305,264,100,1,0.2,3,20
0.74,0.2,0.472418670438472,0.203167758520607,0.586015538290788,0.830188679245283,0.179948586118252,70,54,319,264,100,1,0.2,3,50
0.59,0.2,0.524752475247525,0.365613373996072,0.611111111111111,0.830188679245283,0.275064267352185,107,54,282,264,100,1,0.2,4,10
0.75,0.2,0.506364922206506,0.306954769679705,0.602052451539339,0.830188679245283,0.241645244215938,94,54,295,264,100,1,0.2,4,20
0.78,0.2,0.493635077793494,0.267241219877568,0.595936794582393,0.830188679245283,0.218508997429306,85,54,304,264,100,1,0.2,4,50
0.8,0.2,0.527581329561528,0.374753576103585,0.612529002320186,0.830188679245283,0.280205655526992,109,54,280,264,100,1,0.2,7,10
0.64,0.2,0.519094766619519,0.352073320666145,0.606481481481482,0.823899371069182,0.269922879177378,105,56,284,262,100,1,0.2,7,20
0.83,0.2,0.513437057991513,0.334059240580944,0.603686635944701,0.823899371069182,0.259640102827764,101,56,288,262,100,1,0.2,7,50
0.57,0.3,0.527581329561528,0.381618776714683,0.60981308411215,0.820754716981132,0.287917737789203,112,57,277,261,100,1,0.3,3,10
0.55,0.3,0.496463932107496,0.300467834389819,0.587962962962963,0.79874213836478,0.249357326478149,97,64,292,254,100,1,0.3,3,20
0.74,0.3,0.473833097595474,0.230104086145217,0.578231292517007,0.80188679245283,0.205655526992288,80,63,309,255,100,1,0.3,3,50
0.55,0.3,0.524752475247525,0.372519742006989,0.608391608391608,0.820754716981132,0.282776349614396,110,57,279,261,100,1,0.3,4,10
0.73,0.3,0.519094766619519,0.356750019474955,0.604651162790698,0.817610062893082,0.275064267352185,107,58,282,260,100,1,0.3,4,20
0.8,0.3,0.499292786421499,0.311599283321648,0.588372093023256,0.79559748427673,0.25706940874036,100,65,289,253,100,1,0.3,4,50
0.63,0.3,0.553041018387553,0.451388888888889,0.62291169451074,0.820754716981132,0.334190231362468,130,57,259,261,100,1,0.3,7,10
0.56,0.3,0.512022630834512,0.353470437017995,0.593639575971731,0.792452830188679,0.282776349614396,110,66,279,252,100,1,0.3,7,20
0.85,0.3,0.523338048090523,0.384347329334476,0.601183431952663,0.79874213836478,0.298200514138817,116,64,273,254,100,1,0.3,7,50
0.63,0.4,0.58981612446959,0.536741214057508,0.631979695431472,0.783018867924528,0.431876606683805,168,69,221,249,100,1,0.4,3,10
0.53,0.4,0.553041018387553,0.471571906354515,0.612745098039216,0.786163522012579,0.362467866323907,141,68,248,250,100,1,0.4,3,20
0.69,0.4,0.537482319660537,0.443482908702181,0.602673147023086,0.779874213836478,0.339331619537275,132,70,257,248,100,1,0.4,3,50
0.54,0.4,0.541725601131542,0.454545454545454,0.604878048780488,0.779874213836478,0.347043701799486,135,70,254,248,100,1,0.4,4,10
0.72,0.4,0.537482319660537,0.441156812339332,0.603636363636364,0.783018867924528,0.336760925449871,131,69,258,249,100,1,0.4,4,20
0.81,0.4,0.538896746817539,0.452665697999329,0.601466992665037,0.773584905660377,0.347043701799486,135,72,254,246,100,1,0.4,4,50
0.72,0.4,0.544554455445545,0.461538461538462,0.605392156862745,0.776729559748428,0.354755784061697,138,71,251,247,100,1,0.4,7,10
0.64,0.4,0.554455445544555,0.465195246179966,0.618181818181818,0.80188679245283,0.352185089974293,137,63,252,255,100,1,0.4,7,20
0.86,0.4,0.536067892503536,0.441298263831727,0.600973236009732,0.776729559748428,0.339331619537275,132,71,257,247,100,1,0.4,7,50
0.51,0.5,0.724186704384724,0.73469387755102,0.712812960235641,0.761006289308176,0.694087403598972,270,76,119,242,100,1,0.5,3,10
0.73,0.5,0.544554455445545,0.466887417218543,0.602469135802469,0.767295597484277,0.362467866323907,141,74,248,244,100,1,0.5,3,20
0.68,0.5,0.681753889674682,0.705111402359109,0.654377880184332,0.669811320754717,0.691516709511568,269,105,120,213,100,1,0.5,3,50
0.55,0.5,0.625176803394625,0.600301659125189,0.647137150466045,0.764150943396226,0.511568123393316,199,75,190,243,100,1,0.5,4,10
0.77,0.5,0.695898161244696,0.699300699300699,0.69241773962804,0.761006289308176,0.6426735218509,250,76,139,242,100,1,0.5,4,20
0.69,0.5,0.68033946251768,0.681690140845071,0.678977272727273,0.751572327044025,0.622107969151671,242,79,147,239,100,1,0.5,4,50
0.61,0.5,0.558698727015559,0.525835866261398,0.587301587301587,0.69811320754717,0.444730077120823,173,96,216,222,100,1,0.5,7,10
0.8,0.5,0.544554455445545,0.516516516516516,0.56951871657754,0.669811320754717,0.442159383033419,172,105,217,213,100,1,0.5,7,20
0.55,0.5,0.575671852899576,0.56140350877193,0.589041095890411,0.676100628930818,0.493573264781491,192,103,197,215,100,1,0.5,7,50
0.55,0.2,0.516265912305516,0.336038442797856,0.607798165137615,0.833333333333333,0.25706940874036,100,53,289,265,100,5,0.2,3,10
0.6,0.2,0.490806223479491,0.258533015593042,0.594594594594595,0.830188679245283,0.213367609254499,83,54,306,264,100,5,0.2,3,20
0.72,0.2,0.47949080622348,0.221686942088537,0.590200445434299,0.833333333333333,0.190231362467866,74,53,315,265,100,5,0.2,3,50
0.78,0.2,0.52050919377652,0.35195730695389,0.608996539792388,0.830188679245283,0.267352185089974,104,54,285,264,100,5,0.2,4,10
0.8,0.2,0.486562942008487,0.245558838199747,0.592592592592593,0.830188679245283,0.205655526992288,80,54,309,264,100,5,0.2,4,20
0.64,0.2,0.496463932107496,0.275994092873161,0.597285067873303,0.830188679245283,0.223650385604113,87,54,302,264,100,5,0.2,4,50
0.63,0.2,0.524752475247525,0.365613373996072,0.611111111111111,0.830188679245283,0.275064267352185,107,54,282,264,100,5,0.2,7,10
0.62,0.2,0.514851485148515,0.33385637498748,0.606199770378875,0.830188679245283,0.25706940874036,100,54,289,264,100,5,0.2,7,20
0.62,0.2,0.513437057991513,0.329351277786179,0.605504587155963,0.830188679245283,0.254498714652956,99,54,290,264,100,5,0.2,7,50
0.58,0.3,0.53041018387553,0.388463820142681,0.61214953271028,0.823899371069182,0.290488431876607,113,56,276,262,100,5,0.3,3,10
0.55,0.3,0.524752475247525,0.365613373996072,0.611111111111111,0.830188679245283,0.275064267352185,107,54,282,264,100,5,0.3,3,20
0.79,0.3,0.500707213578501,0.306172919852917,0.592848904267589,0.808176100628931,0.249357326478149,97,61,292,257,100,5,0.3,3,50
0.62,0.3,0.547383309759547,0.43859649122807,0.62085308056872,0.823899371069182,0.32133676092545,125,56,264,262,100,5,0.3,4,10
0.7,0.3,0.521923620933522,0.361127320327409,0.607888631090487,0.823899371069182,0.275064267352185,107,56,282,262,100,5,0.3,4,20
0.82,0.3,0.500707213578501,0.313499278951658,0.590011614401858,0.79874213836478,0.25706940874036,100,64,289,254,100,5,0.3,4,50
0.63,0.3,0.548797736916549,0.441330998248686,0.621589561091341,0.823899371069182,0.323907455012853,126,56,263,262,100,5,0.3,7,10
0.86,0.3,0.547383309759547,0.43859649122807,0.62085308056872,0.823899371069182,0.32133676092545,125,56,264,262,100,5,0.3,7,20
0.86,0.3,0.527581329561528,0.381618776714683,0.60981308411215,0.820754716981132,0.287917737789203,112,57,277,261,100,5,0.3,7,50
0.57,0.4,0.543140028288543,0.451612903225806,0.608484848484848,0.789308176100629,0.341902313624679,133,67,256,251,100,5,0.4,3,10
0.62,0.4,0.534653465346535,0.427450772533326,0.604091456077016,0.789308176100629,0.326478149100257,127,67,262,251,100,5,0.4,3,20
0.55,0.4,0.54031117397454,0.445612941756901,0.607013301088271,0.789308176100629,0.336760925449871,131,67,258,251,100,5,0.4,3,50
0.52,0.4,0.545968882602546,0.456852791878173,0.60996354799514,0.789308176100629,0.347043701799486,135,67,254,251,100,5,0.4,4,10
0.81,0.4,0.54031117397454,0.447917737789203,0.606060606060606,0.786163522012579,0.339331619537275,132,68,257,250,100,5,0.4,4,20
0.77,0.4,0.537482319660537,0.443482908702181,0.602673147023086,0.779874213836478,0.339331619537275,132,70,257,248,100,5,0.4,4,50
0.68,0.4,0.562942008486563,0.471794871794872,0.627261761158022,0.817610062893082,0.354755784061697,138,58,251,260,100,5,0.4,7,10
0.61,0.4,0.548797736916549,0.462057335581788,0.611449451887942,0.789308176100629,0.352185089974293,137,67,252,251,100,5,0.4,7,20
0.87,0.4,0.547383309759547,0.459459459459459,0.610705596107056,0.789308176100629,0.349614395886889,136,67,253,251,100,5,0.4,7,50
0.56,0.5,0.734087694483734,0.744565217391304,0.722713864306785,0.770440251572327,0.704370179948586,274,73,115,245,100,5,0.5,3,10
0.56,0.5,0.586987270155587,0.536507936507937,0.627551020408163,0.773584905660377,0.434447300771208,169,72,220,246,100,5,0.5,3,20
0.64,0.5,0.687411598302687,0.685633001422475,0.689170182841069,0.770440251572327,0.619537275064267,241,73,148,245,100,5,0.5,3,50
0.48,0.5,0.734087694483734,0.745945945945946,0.72106824925816,0.764150943396226,0.709511568123393,276,75,113,243,100,5,0.5,4,10
0.53,0.5,0.708628005657709,0.714681440443213,0.702312138728324,0.764150943396226,0.663239074550129,258,75,131,243,100,5,0.5,4,20
0.7,0.5,0.708628005657709,0.714681440443213,0.702312138728324,0.764150943396226,0.663239074550129,258,75,131,243,100,5,0.5,4,50
0.69,0.5,0.554455445544555,0.522003034901366,0.582781456953642,0.691823899371069,0.442159383033419,172,98,217,220,100,5,0.5,7,10
0.87,0.5,0.544554455445545,0.516516516516516,0.56951871657754,0.669811320754717,0.442159383033419,172,105,217,213,100,5,0.5,7,20
0.81,0.5,0.55021216407355,0.475247524752475,0.606435643564356,0.770440251572327,0.370179948586118,144,73,245,245,100,5,0.5,7,50
0.56,0.2,0.514851485148515,0.326860279302439,0.608893956670468,0.839622641509434,0.249357326478149,97,51,292,267,100,10,0.2,3,10
0.56,0.2,0.487977369165488,0.24740514525388,0.594170403587444,0.833333333333333,0.205655526992288,80,53,309,265,100,10,0.2,3,20
0.71,0.2,0.493635077793494,0.267241219877568,0.595936794582393,0.830188679245283,0.218508997429306,85,54,304,264,100,10,0.2,3,50
0.56,0.2,0.526166902404526,0.370179948586118,0.611819235225956,0.830188679245283,0.277634961439589,108,54,281,264,100,10,0.2,4,10
0.75,0.2,0.497878359264498,0.28038669032188,0.597961494903737,0.830188679245283,0.226221079691517,88,54,301,264,100,10,0.2,4,20
0.56,0.2,0.507779349363508,0.309042897364601,0.603644646924829,0.833333333333333,0.241645244215938,94,53,295,265,100,10,0.2,4,50
0.66,0.2,0.537482319660537,0.406955995765916,0.617543859649123,0.830188679245283,0.298200514138817,116,54,273,264,100,10,0.2,7,10
0.72,0.2,0.524752475247525,0.37021110851445,0.609302325581395,0.823899371069182,0.280205655526992,109,56,280,262,100,10,0.2,7,20
0.7,0.2,0.52050919377652,0.35195730695389,0.608996539792388,0.830188679245283,0.267352185089974,104,54,285,264,100,10,0.2,7,50
0.51,0.3,0.531824611032532,0.393044004234084,0.612865497076023,0.823899371069182,0.29305912596401,114,56,275,262,100,10,0.3,3,10
0.62,0.3,0.513437057991513,0.329351277786179,0.605504587155963,0.830188679245283,0.254498714652956,99,54,290,264,100,10,0.3,3,20
0.62,0.3,0.512022630834512,0.329576165051743,0.602991944764097,0.823899371069182,0.25706940874036,100,56,289,262,100,10,0.3,3,50
0.62,0.3,0.545968882602546,0.43585237258348,0.620118343195266,0.823899371069182,0.318766066838046,124,56,265,262,100,10,0.3,4,10
0.58,0.3,0.531824611032532,0.388515501595069,0.614668218859139,0.830188679245283,0.287917737789203,112,54,277,264,100,10,0.3,4,20
0.61,0.3,0.519094766619519,0.352073320666145,0.606481481481482,0.823899371069182,0.269922879177378,105,56,284,262,100,10,0.3,4,50
0.72,0.3,0.548797736916549,0.441330998248686,0.621589561091341,0.823899371069182,0.323907455012853,126,56,263,262,100,10,0.3,7,10
0.68,0.3,0.543140028288543,0.432133676092545,0.617751479289941,0.820754716981132,0.316195372750643,123,57,266,261,100,10,0.3,7,20
0.8,0.3,0.547383309759547,0.436619718309859,0.621749408983452,0.827044025157233,0.318766066838046,124,55,265,263,100,10,0.3,7,50
0.72,0.4,0.547383309759547,0.448275862068966,0.616306954436451,0.808176100628931,0.334190231362468,130,61,259,257,100,10,0.4,3,10
